"Код";"Наименование";"Сокращение";"Номер";"Код ППЗ-ПВК";"Код ЕРСЛ";"Признак наличия классов";"Признак наличия курсов";"Код типа";"Признак государственной принадлежности";"Вышестоящее ведомство";"Код ТЕ";"Текстовая запись адреса";"Код адреса";"ФИО руководителя";"Должность руководителя";"Телефон";"Электронная почта";"Сайт";"Состояние подписи";
"000368";"Государственное бюджетное образовательное учреждение Центр образования № 1941";"ГБОУ ЦО № 1941";"1941";"450000001785";"3422";"true";"false";"042";"true";"Западное окружное управление образования Департамента образования города Москвы";"0815";"119192, город Москва, Мичуринский проспект, дом 15, корпус 1";"3101200";"Денисова Наталья Владимировна";"директор";"(495) 932-66-12";"school_1941@km.ru";"coz1941.zao.mskobr.ru";"Запись не подписана";
"000369";"Государственное бюджетное образовательное учреждение города Москвы Центр образования ""Школа здоровья"" № 97";"ГБОУ ЦО ""Школа здоровья"" № 97";"97";"";"3409";"true";"false";"041";"true";"Западное окружное управление образования Департамента образования города Москвы";"0819";"121357, город Москва, Кременчугская улица, дом 46";"2127027";"Мальчевская Ирина Витальевна";"директор";"(495) 445-06-64";"shc97@mail.ru";"www.coz97.zao.mskobr.ru";"Запись не подписана";
"000370";"Государственное бюджетное образовательное учреждение Центр образования № 1436";"ГБОУ ЦО № 1436";"1436";"450000001786";"2941";"true";"false";"042";"true";"Западное окружное управление образования Департамента образования города Москвы";"0816";"119297, город Москва, Родниковая улица, дом 20, корпус 1";"2112563";"Буданцева Людмила Федоровна";"директор";"(495) 934-76-20";"ce1436@mail.ru";"www.co1436.zao.mskobr.ru";"Запись не подписана";
"000371";"Государственное образовательное учреждение Центр образования № 1437";"ГОУ ЦО № 1437";"1437";"";"2955";"true";"false";"042";"true";"Западное окружное управление образования Департамента образования города Москвы";"0811";"119634, город Москва, Федоскинская улица, дом 16, корпус 3";"";"Новикова Татьяна Васильевна";"директор";"(495) 731-10-55";"co_1437@mail.ru";"co1437.zao.mskobr.ru";"Запись не подписана";
"000372";"Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1438";"ГБОУ ЦО № 1438";"1438";"450000001788";"2954";"true";"false";"042";"true";"Западное окружное управление образования Департамента образования города Москвы";"0820";"119517, город Москва, Матвеевская улица, дом 20, корпус 2";"2111926";"Аференок Тамара Васильевна";"директор";"(495) 441-72-39";"sc42@mail.ru";"co1438.zao.mskobr.ru";"Запись не подписана";
"000373";"Государственное образовательное учреждение Центр Образования № 1440";"ГОУ ЦО № 1440";"1440";"";"2960";"true";"false";"042";"true";"Западное окружное управление образования Департамента образования города Москвы";"0806";"121609, город Москва, Осенний бульвар, дом 10, корпус 3";"2118864";"Миняйло Ирина Николаевна";"директор";"(495) 415-98-55";"sch1304@inbox.ru";"co1440.zao.mskobr.ru";"Запись не подписана";
"000374";"Государственное образовательное учреждение Центр образования № 1448";"ГОУ ЦО № 1448";"1448";"";"3095";"true";"false";"042";"true";"Западное окружное управление образования Департамента образования города Москвы";"0815";"119602, город Москва, Мичуринский проезд, дом 5, корпус 1";"3102414";"Маловичко Раиса Федоровна";"директор";"(495) 641-16-25";"school1448@mail.ru";"www.co1448.zao.mskobr.ru";"Запись не подписана";
"000375";"Государственное бюджетное образовательное учреждение Центр образования № 1471";"ГБОУ ЦО № 1471";"1471";"450000001791";"3124";"true";"false";"042";"true";"Западное окружное управление образования Департамента образования города Москвы";"0806";"121614, город Москва, Крылатская улица, дом 25";"2127010";"Шушковская Алла Абрамовна";"директор";"(495) 413-33-32";"sch1129@nextmail.ru";"www.co1471.zao.mskobr.ru";"Запись не подписана";
"000376";"Государственное бюджетное образовательное учреждение средняя общеобразовательная школа № 1473 имени Г.А. Тарана";"ГБОУ СОШ № 1473 им. Г.А. Тарана";"1473";"450000001792";"3688";"true";"false";"016";"true";"Западное окружное управление образования Департамента образования города Москвы";"0813";"119027, город Москва, посёлок Внуково, Центральная улица, дом 15А";"2106584";"Савельев Сергей Григорьевич";"директор";"(495) 436-84-07";"sch1473@bk.ru";"co1473.zao.mskobr.ru";"Запись не подписана";
"000377";"Государственное бюджетное образовательное учреждение Центр образования № 1485";"ГБОУ ЦО № 1485";"1485";"450000001793";"3092";"true";"false";"042";"true";"Западное окружное управление образования Департамента образования города Москвы";"0817";"119571, город Москва, проспект Вернадского, дом 127, корпус 2";"2116999";"Беспалова Светлана Анатольевна";"директор";"(495) 438-75-44";"";"co1485.zao.mskobr.ru";"Запись не подписана";
"000378";"Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1130";"ГБОУ ЦО № 1130";"1130";"450000001794;450000003320";"2673";"true";"false";"042";"true";"Западное окружное управление образования Департамента образования города Москвы";"0806";"121609, город Москва, Осенняя улица, дом 8, корпус 3";"3201649";"Бушкин Алексей Михайлович";"директор";"(495) 415-60-45";"sch1130@mtu-net.ru";"sch1130.zao.mskobr.ru";"Запись не подписана";
"000379";"Государственное образовательное учреждение Центр образования № 1329";"ГОУ ЦО № 1329";"1329";"";"2575";"true";"false";"042";"true";"Западное окружное управление образования Департамента образования города Москвы";"0817";"119602, город Москва, Никулинская улица, дом 10";"3102271";"Бурмакина Вероника Федоровна";"директор";"(495) 651-33-97";"info@sch1329.ru";"co1329.zao.mskobr.ru";"Запись не подписана";
"000380";"Государственное образовательное учреждение Центр образования № 1434";"ГОУ ЦО № 1434";"1434";"";"2961";"true";"false";"042";"true";"Западное окружное управление образования Департамента образования города Москвы";"0815";"117607, город Москва, улица Раменки, дом 15, корпус 1";"2116970";"Попок Ирина Анатольевна";"директор";"(495) 932-00-00";"coe1434@mail.ru";"www.co1434.zao.mskobr.ru";"Запись не подписана";
"000381";"Государственное бюджетное образовательное учреждение Центр образования № 1455";"ГБОУ ЦО № 1455";"1455";"450000001796";"2957";"true";"false";"042";"true";"Западное окружное управление образования Департамента образования города Москвы";"0811";"119633, город Москва, Боровское шоссе, дом 18, корпус 4";"4100792";"Кукуева Зоя Александровна";"директор";"(495) 732-13-50";"z_kukueva@mail.ru";"co1455.zao.mskobr.ru";"Запись не подписана";
"000382";"Государственное образовательное учреждение Центр образования № 1816";"ГОУ ЦО № 1816";"1816";"";"537";"true";"false";"042";"true";"Западное окружное управление образования Департамента образования города Москвы";"0818";"121096, город Москва, Кастанаевская улица, дом 9А";"3203919";"Астраханцева Татьяна Алексеевна";"директор";"(499) 142-40-90";"gou1816@rambler.ru";"1816.zschool.ru";"Запись не подписана";
"000383";"Государственное бюджетное образовательное учреждение города Москвы Центр образования № 324 ""Жар-птица""";"ГБОУ ЦО № 324";"324";"450000001798";"3168";"true";"false";"042";"true";"Западное окружное управление образования Департамента образования города Москвы";"0814";"119454, город Москва, улица Лобачевского, дом 54";"2116885";"Зотова Елена Борисовна";"директор";"(495) 431-19-87";"school324@mail.ru";"s324.ru";"Запись не подписана";
"000384";"Государственное бюджетное образовательное учреждение Гимназия № 1528";"ГБОУ Гимназия № 1528";"1528";"450000001799;450000001810;450000001811";"645";"true";"false";"018";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1012";"124527, город Москва, город Зеленоград, корпус 817";"2106499";"Слесарев Андрей Сергеевич";"директор";"(499) 731-55-50";"s1528@zou.ru";"gym1528.ru";"Запись не подписана";
"000385";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 2045";"ГБОУ СОШ № 2045";"2045";"450000001800;450000001803;450000001814";"3647";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1005";"124365, город Москва, город Зеленоград, корпус 2031";"3701781";"Круглова Лариса Юрьевна";"директор";"(499) 210-07-11";"s2045@zou.ru";"cf2045.ru/";"Запись не подписана";
"000386";"Государственное бюджетное образовательное учреждение Лицей № 1557";"ГБОУ Лицей № 1557";"1557";"450000001801;450000001806;450000001812;450000001837";"2073";"true";"false";"019";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1010";"124536, город Москва, город Зеленоград, корпус 509";"3700003";"Грищенков Андрей Витальевич";"директор";"(499) 735-13-40";"s1557@zou.ru";"1557.zelenogradci.ru";"Запись не подписана";
"000392";"Государственное бюджетное образовательное учреждение Начальная школа - детский сад компенсирующего вида № 1853";"ГБОУ Начальная школа - детский сад компенсирующего вида № 1853";"1853";"450000001807";"2011";"true";"false";"011";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1011";"124575, город Москва, город Зеленоград, корпус 1005а";"2106515";"Кувшинова Галина Николаевна";"директор";"(499) 731-77-01";"s1853@zou.ru";"s1853.zouo.ru";"Запись не подписана";
"000397";"Государственное образовательное учреждение Санаторный детский дом для детей-сирот и детей, оставшихся без попечения родителей № 14";"ГОУ Санаторный детский дом № 14";"14";"";"1675";"false";"false";"045";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1005";"124617, город Москва, город Зеленоград, корпус 1426";"2136281";"Воронецкая Евгения Ивановна";"директор";"(499) 717-04-95";"dd14@zou.ru";"";"Запись не подписана";
"000399";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа ""Школа надомного обучения"" № 367";"ГБОУ СОШНО № 367";"367";"450000001813";"1829";"true";"false";"037";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1012";"124527, город Москва, город Зеленоград, корпус 864";"3701625";"Матвеева Ирина Сергеевна";"директор";"(499) 729-81-82";"s367@zou.ru";"zou.ru/s367test";"Запись не подписана";
"000402";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 1050";"ГБОУ СОШ № 1050";"1050";"450000001816";"1906";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1011";"124460, город Москва, город Зеленоград, корпус 1128";"2106512";"Морозов Константин Павлович";"директор";"(495) 532-25-43";"s1050@zou.ru";"s1050.zouo.ru";"Запись не подписана";
"000403";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 1149";"ГБОУ СОШ № 1149";"1149";"450000001817";"1201";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1005";"124617, город Москва, город Зеленоград, корпус 1464";"2133228";"Евсина Анна Борисовна";"директор";"(499) 717-02-01";"s1149@zou.ru";"s1149.zou.ru";"Запись не подписана";
"000404";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 1150";"ГБОУ СОШ № 1150";"1150";"450000001818;450000001825";"1572";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1005";"124365, город Москва, город Зеленоград, корпус 1609";"2134729";"Федотова Наталия Николаевна";"директор";"(499) 717-91-10";"s1150@zou.ru";"s1150.ucoz.ru";"Запись не подписана";
"000405";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 1151";"ГБОУ СОШ № 1151";"1151";"450000003211";"2718";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1005";"124461, город Москва, город Зеленоград, корпус 1468";"2135562";"Агапов Игорь Геннадьевич";"директор";"(499) 738-55-46";"s1151@zou.ru";"s1151.zouo.ru";"Запись не подписана";
"000406";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 1194";"ГБОУ СОШ № 1194";"1194";"450000001819;450000001809";"1589";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1005";"124683, город Москва, город Зеленоград, корпус 1556";"3700132";"Антонова Ольга Николаевна";"директор";"(499) 717-20-91";"s1194@zou.ru";"s1194.zouo.ru";"Запись не подписана";
"000407";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 1692";"ГБОУ СОШ № 1692";"1692";"450000001820";"1973";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1011";"124575, город Москва, город Зеленоград, корпус 1016";"2106502";"Ясинова Анна Владимировна";"директор";"(495) 531-49-50";"s1692@zou.ru";"s1692.zouo.ru";"Запись не подписана";
"000408";"Государственное бюджетное образовательное учреждение специальная общеобразовательная школа № 8";"ГБОУ специальная школа № 8";"8";"450000002885";"3210";"true";"false";"030";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1009";"124498, город Москва, город Зеленоград, корпус 428А";"2117093";"Смотрова Татьяна Ивановна";"директор";"(499) 734-10-17";"s1710@zou.ru";"s1710.zouo.ru";"Запись не подписана";
"000409";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 1739";"ГБОУ СОШ № 1739";"1739";"450000001821;450000001808";"1315";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1005";"124683, город Москва, город Зеленоград, корпус 1555";"2133229";"Прусакова Татьяна Николаевна";"директор";"(495) 537-92-44";"s1739@zou.ru";"s1739.zouo.ru";"Запись не подписана";
"000410";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 1740";"ГБОУ СОШ № 1740";"1740";"450000001822";"1984";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1005";"124683, город Москва, город Зеленоград, корпус 1530";"3700321";"Деркунсккая Татьяна Дмитриевна";"директор";"(499) 717-03-67";"s1740@zou.ru";"s1740.zouo.ru";"Запись не подписана";
"000411";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 1912";"ГБОУ СОШ № 1912";"1912";"450000001823;450000001826";"971";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1005";"124683, город Москва, город Зеленоград, корпус 1816";"1900087";"Князева Светлана Владимировна";"директор";"(499) 738-00-55";"s1912@zou.ru";"zou.ru/s1912";"Запись не подписана";
"000412";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 1913";"ГБОУ СОШ № 1913";"1913";"450000001824";"2030";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1005";"124536, город Москва, город Зеленоград, корпус 1632";"2136496";"Копцев Виктор Петрович";"директор";"(499) 738-55-38";"s1913@zou.ru";"s1913.zouo.ru";"Запись не подписана";
"000415";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 602";"ГБОУ СОШ № 602";"602";"450000001827";"1487";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1011";"124575, город Москва, город Зеленоград, корпус 1017";"2106505";"Розовская Ольга Николаевна";"директор";"(495) 531-25-12";"s602@zou.ru";"school602.noka.ru";"Запись не подписана";
"000416";"Государственное бюджетное образовательное учреждение Средняя общеобразовательная школа № 604";"ГБОУ СОШ № 604";"604";"450000001828";"1577";"true";"false";"016";"true";"Зеленоградское окружное управление образования Департамента образования города Москвы";"1009";"124489, город Москва, город Зеленоград, корпус 222А";"2106690";"Шегаева Оксана Валериевна";"директор";"(499) 734-16-00";"s604@zou.ru";"s604.zouo.ru";"Запись не подписана";
"000145";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 360";"ГБОУ СОШ № 360";"360";"450000001572;450000001471";"916";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0416";"105523, город Москва, 15-я Парковая улица, дом 46А";"2115882";"Широких Ирина Степановна";"директор";"(495) 468-81-52";"gou_sosh_360@mail.ru";"360.ruclass.ru";"Запись не подписана";
"000146";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 362";"ГБОУ СОШ № 362";"362";"450000001573";"1256";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0403";"107150, город Москва, Ивантеевская улица, дом 32А";"2109440";"Орехов Александр Павлович";"директор";"(495) 160-12-20";"gou362@mail.ru";"362.su";"Запись не подписана";
"000147";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 365";"ГБОУ СОШ № 365";"365";"450000003015";"1261";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0403";"107150, город Москва, 5-й проезд Подбельского, дом 2";"2109438";"Осипова Мария Вячеславовна";"директор";"(495) 160-26-20";"school365@rambler.ru";"school365.edusite.ru";"Запись не подписана";
"000148";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 369";"ГБОУ СОШ № 369";"369";"450000001574";"1262";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0418";"107014, город Москва, улица Гастелло, дом 3";"2109510";"Бегун Марина Ивановна";"директор";"(495) 268-52-06";"";"school369.edusite.ru";"Запись не подписана";
"000149";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 373";"ГБОУ СОШ № 373";"373";"450000001575";"1266";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0410";"107143, город Москва, Открытое шоссе, дом 25";"2109319";"Леденёва Людмила Степановна";"директор";"(499) 167-75-00";"sch373@mail.ru";"";"Запись не подписана";
"000150";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 374";"ГБОУ СОШ № 374";"374";"450000001576";"1271";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0403";"107564, город Москва, Миллионная улица, дом 5, корпус 1";"2600608";"Шамалова Марина Олеговна";"директор";"(495) 169-40-70";"shkla374@rambler.ru";"school374vao.narod.ru";"Запись не подписана";
"000154";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 378";"ГБОУ СОШ № 378";"378";"450000001579";"1273";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0418";"107076, город Москва, улица Стромынка, дом 17";"2404929";"Сентяев Владимир Прокопьевич";"директор";"(495) 268-37-00";"shcola-378@yandex.ru";"scoll378.edusite.ru";"Запись не подписана";
"000156";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 382";"ГБОУ СОШ № 382";"382";"450000001581";"1281";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0403";"107564, город Москва, Андреево-Забелинская улица, дом 28";"2109294";"Назарова Елена Вячеславовна";"директор";"(495) 160-06-44";"scholl382@pochta.ru";"school382.ucoz.ru";"Запись не подписана";
"000157";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 386";"ГБОУ СОШ № 386";"386";"450000001582";"1289";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0403";"107370, город Москва, Бойцовая улица, дом 6, корпус 8А";"2109317";"Пименов Алексей Евгеньевич";"директор";"(495) 160-86-26";"";"schools.keldysh.ru/sch386";"Запись не подписана";
"000159";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 399";"ГБОУ СОШ № 399";"399";"450000001584;450000001607";"1316";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0416";"105425, город Москва, 5-я Парковая улица, дом 49, строение 1";"";"Мерзляков Олег Васильевич";"директор";"(499) 164-49-01";"399sch@rambler.ru";"399sch.moy.su";"Запись не подписана";
"000160";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 402";"ГБОУ СОШ № 402";"402";"450000001585";"520";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0404";"111538, город Москва, Косинская улица, дом 10А";"2122180";"Сотникова Татьяна Яковлевна";"директор";"(495) 375-59-11";"s402veshn@yandex.ru";"s402.ru";"Запись не подписана";
"000161";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 2094";"ГБОУ СОШ № 2094";"2094";"450000001586;450000001591;450000001599";"3814";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0408";"105264, город Москва, Сиреневый бульвар, дом 20";"2115721";"Яковлева Ирина Васильевна";"директор";"(495) 164-67-01";"school403@mail.ru";"403school.ucoz.ru";"Запись не подписана";
"000162";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 406";"ГБОУ СОШ № 406";"406";"450000001587";"1337";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0413";"111399, город Москва, Зеленый проспект, дом 59";"2122255";"Волхонская Наталия Михайловна";"директор";"(495) 301-35-49";"school-406@mail.ru";"school-406.ru";"Запись не подписана";
"000164";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 411";"ГБОУ СОШ № 411";"411";"450000001589";"1341";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0407";"111558, город Москва, улица Сталеваров, дом 20А";"2122185";"Юрцвайг Александра Вениаминовна";"директор";"(495) 303-23-89";"tim411@rambler.ru";"mosschool411.narod.ru";"Запись не подписана";
"000168";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 433 имени Героя Советского Союза И.И. Якушкина";"ГБОУ СОШ № 433 им. И.И. Якушкина";"433";"450000001593";"1364";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0417";"105118, город Москва, 5-я улица Соколиной Горы, дом 5";"2115904";"Яфясов Шикурь Абдулхакович";"директор";"(495) 365-18-55";"school433@mail.ru";"school433.edusite.ru";"Запись не подписана";
"000169";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 443";"ГБОУ СОШ № 443";"443";"450000001594";"524";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0413";"111123, город Москва, шоссе Энтузиастов, дом 72";"2122198";"Тихонова Евгения Александровна";"директор";"(495) 672-26-31";"";"school443.ru";"Запись не подписана";
"000171";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 448";"ГБОУ СОШ № 448";"448";"450000001596";"1838";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0414";"105173, город Москва, посёлок Акулово, дом 43А";"2105210";"Яшина Нина Владимировна";"директор";"(495) 460-98-05";"ssch448@yandex.ru";"";"Запись не подписана";
"000173";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 633";"ГБОУ СОШ № 633";"633";"450000001598";"1550";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0407";"111558, город Москва, Федеративный проспект, дом 37А";"2122201";"Терновой Юрий Юрьевич";"директор";"(495) 300-53-97";"633_shkola@mail.ru";"school633.mhost.ru";"Запись не подписана";
"000175";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 647";"ГБОУ СОШ № 647";"647";"450000001600";"976";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0417";"105275, город Москва, 5-я улица Соколиной Горы, дом 14";"2122200";"Зинакова Светлана Григорьевна";"директор";"(495) 366-23-42";"";"";"Запись не подписана";
"000176";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 650";"ГБОУ СОШ № 650";"650";"450000001601";"983";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0415";"107553, город Москва, Большая Черкизовская улица, дом 26";"2403392";"Кулагина Раиса Яковлевна";"директор";"(495) 161-41-43";"sch650@rambler.ru";"sch650.ru";"Запись не подписана";
"000177";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 664";"ГБОУ СОШ № 664";"664";"450000001602";"1573";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0414";"105173, город Москва, Главная улица, дом 13";"2105219";"Демьяненко Тамара Петровна";"директор";"(495) 965-84-75";"sch0664@mail.ru";"redschool.edusite.ru";"Запись не подписана";
"000178";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 672";"ГБОУ СОШ № 672";"672";"450000001603";"725";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0413";"111141, город Москва, Зеленый проспект, дом 14";"2122244";"Коченов Сергей Викторович";"директор";"(495) 306-54-20";"";"sch672.narod.ru";"Запись не подписана";
"000180";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 688";"ГБОУ СОШ № 688";"688";"450000001605";"1565";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0417";"105275, город Москва, 8-я улица Соколиной Горы, дом 5А";"2115906";"Гурова Нина Сергеевна";"директор";"(495) 365-17-81";"";"";"Запись не подписана";
"000183";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 723";"ГБОУ СОШ № 723";"723";"450000001608";"1067";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0405";"105203, город Москва, Нижняя Первомайская улица, дом 51";"2115707";"Каменева Надежда Петровна";"директор";"(495) 465-30-61";"kameneva723@rambler.ru";"sch723.mskobr.ru";"Запись не подписана";
"000184";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 741";"ГБОУ СОШ № 741";"741";"450000001609";"1090";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0408";"105077, город Москва, Средняя Первомайская улица, дом 8";"2115785";"Дагаева Анна Николаевна";"директор";"(495) 465-46-60";"";"sch741.edusite.ru";"Запись не подписана";
"000185";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 766";"ГБОУ СОШ № 766";"766";"450000001610";"1267";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0406";"107497, город Москва, Байкальская улица, дом 44";"2114470";"Колоскова Маргарита Васильевна";"директор";"(495) 467-57-95";"";"shkola766.narod..ru";"Запись не подписана";
"000187";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 781";"ГБОУ СОШ № 781";"781";"450000001612";"1145";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0404";"111402, город Москва, Вешняковская улица, дом 2А";"2122233";"Володина Светлана Николаевна";"директор";"(495) 375-67-84";"sch781@mail.ru";"school781.edusite.ru";"Запись не подписана";
"000188";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 782";"ГБОУ СОШ № 782";"782";"450000001613";"1149";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0413";"111398, город Москва, улица Плющева, дом 13А";"2122242";"Бурмистрова Ольга Лаврентьевна";"директор";"(495) 309-29-77";"sch782@yandex.ru";"www.shkola782.edusite.ru";"Запись не подписана";
"000189";"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 783";"ГБОУ СОШ № 783";"783";"450000001614";"651";"true";"false";"016";"true";"Восточное окружное управление образования Департамента образования города Москвы";"0411";"111396, город Москва, Союзный проспект, дом 2";"2122192";"Бойко Римма Владимировна";"директор";"(495) 302-01-16";"sch783@yandex.ru";"sch783vao.narod.ru";"Запись не подписана";
